% Model:              
% Version:            COMSOL 5.3.1.348
% Date:               Jul 5 2019, 13:11
% Dimension:          2
% Nodes:              2500
% Expressions:        3
% Description:        
% Length unit:        m
% X                       Y                        u2 (K) @ t=0             u2 (K) @ t=1.9E-5        u2 (K) @ t=1E-4
0                         0                        400                      400                      400
0.002040816326530612      0                        373.5514235595291        393.4782425877592        397.30920213628525
0.004081632653061224      0                        355.4334243028458        387.3635821578682        394.63905982615336
0.0061224489795918356     0                        345.6460022299501        381.65601871032675       391.98957306960426
0.008163265306122448      0                        344.1891573408421        376.3555522451352        389.36074186663814
0.01020408163265306       0                        350.0005946889068        371.4923288858759        386.75332481185427
0.012244897959183671      0                        350.00020950780817       367.3914086921505        384.1899649258872
0.014285714285714284      0                        349.999955704285         363.85011470066564       381.67739561866443
0.016326530612244896      0                        349.99983327833746       360.8684469114214        379.21561689018586
0.01836734693877551       0                        349.9998422299654        358.4464053244178        376.80462874045134
0.02040816326530612       0                        349.999956161569         356.57948727816824       374.446778090308
0.022448979591836733      0                        350.00000314170325       355.07402438987543       372.1506889707991
0.024489795918367342      0                        350.0000269350043        353.8279203732599        369.90802921087317
0.026530612244897955      0                        350.00002754147226       352.84117522832173       367.71879881053036
0.028571428571428567      0                        350.0000049611071        352.11378895506084       365.5829977697706
0.03061224489795918       0                        349.9999802653085        351.6207427814741        363.5027451012447
0.03265306122448979       0                        349.9999932853192        351.2099140824289        361.460025211834
0.0346938775510204        0                        350.0000011739474        350.8757300051198        359.43867169228326
0.03673469387755102       0                        350.0000039311931        350.6181905495469        357.43868454259257
0.038775510204081626      0                        350.0000015570559        350.43729571571          355.4600637627619
0.04081632653061224       0                        349.99999817032125       350.31912623128085       353.500920914286
0.04285714285714285       0                        349.9999991956144        350.2106142871681        351.5180368533875
0.044897959183673466      0                        349.9999998970005        350.1128781463239        349.49612641302747
0.046938775510204075      0                        350.00000027447936       350.02591780874826       347.4351895932059
0.048979591836734684      0                        350.0000003280511        349.9497332744411        345.3352263939227
0.0510204081632653        0                        349.99999972006117       349.882368106867         343.18708330074696
0.05306122448979591       0                        349.99999945733305       349.7898756737894        340.93843874614754
0.055102040816326525      0                        350.00000021312917       349.66289686766544       338.58100572204523
0.057142857142857134      0                        350.0000019874494        349.50143168849496       336.11478422844
0.05918367346938775       0                        350.0000047802939        349.305480136278         333.53977426533174
0.06122448979591836       0                        349.99999635425155       349.0828815525244        330.8402977226215
0.06326530612244897       0                        349.9999900055391        348.7334295310222        327.9792419453389
0.06530612244897958       0                        349.99999619670075       348.22749952100435       324.956474333966
0.06734693877551019       0                        350.00001492773646       347.5650915224711        321.7719948885029
0.0693877551020408        0                        350.00004619864626       346.7462055354223        318.4258036089494
0.07142857142857142       0                        349.99999221306683       345.76329191810964       314.9030118616396
0.07346938775510203       0                        349.99994215959146       344.31126472988274       311.2020640960416
0.07551020408163264       0                        349.99994382829294       342.3387595276706        307.3275652714145
0.07755102040816325       0                        349.99999721917106       339.8457763114732        303.27951538775835
0.07959183673469387       0                        350.00010233222594       336.8323150812904        299.057914445073
0.08163265306122448       0                        350.00031194907626       333.0919557382084        294.66153546674855
0.08367346938775509       0                        350.0003299391499        328.242111971337         290.12734768528856
0.0857142857142857        0                        350.00011460211334       322.27467754039634       285.45966328929507
0.08775510204081631       0                        349.9996659379668        315.1896524453863        280.6584822787681
0.08979591836734693       0                        349.99898394671015       306.9870366863068        275.7238046537075
0.09183673469387754       0                        361.6214711241031        297.2610511882011        270.68164816472887
0.09387755102040815       0                        358.70753137874607       286.6631217800428        265.58744321496886
0.09591836734693876       0                        339.13263960960995       275.2536367792899        260.4424335375941
0.09795918367346937       0                        302.89679581669463       263.0325961859422        255.24661913260445
0.09999999999999999       0                        250.00000000000088       250.00000000000023       250.0000000000001
0                         0.0016326530612244896    400                      400                      400
0.002040816326530612      0.0016326530612244896    365.01856416134444       393.5469589084389        397.31333444426025
0.004081632653061224      0.0016326530612244896    350.3597271985465        387.3976149214364        394.64074691884474
0.0061224489795918356     0.0016326530612244896    344.03146741953634       381.65536791678375       391.9888149470121
0.008163265306122448      0.0016326530612244896    346.03378482431356       376.3202178944807        389.3575385287623
0.01020408163265306       0.0016326530612244896    350.0001239246802        371.50266424559794       386.7539480510684
0.012244897959183671      0.0016326530612244896    350.000183702395         367.38445848297766       384.1915492225658
0.014285714285714284      0.0016326530612244896    350.0000069788879        363.85488157674035       381.67781692035055
0.016326530612244896      0.0016326530612244896    349.9999616329564        360.88493087274367       379.21487519687963
0.01836734693877551       0.0016326530612244896    350.00004766460023       358.47460637098743       376.80272405215277
0.02040816326530612       0.0016326530612244896    349.9999986566317        356.5629804551851        374.44623302266183
0.022448979591836733      0.0016326530612244896    349.99996437032246       355.0492225079705        372.1495498178286
0.024489795918367342      0.0016326530612244896    350.0000006998238        353.8199585977517        369.90773075086594
0.026530612244897955      0.0016326530612244896    350.000013842492         352.85005355921027       367.71934104348645
0.028571428571428567      0.0016326530612244896    350.00000379832716       352.1395073923462        365.58438069569
0.03061224489795918       0.0016326530612244896    349.9999895750715        351.6085511613965        363.4987176031261
0.03265306122448979       0.0016326530612244896    349.99999532991603       351.20017216540356       361.4562686686529
0.0346938775510204        0.0016326530612244896    350.00000169886704       350.87269073796074       359.43785957899826
0.03673469387755102       0.0016326530612244896    350.0000029364354        350.62185393225406       357.44081685920344
0.038775510204081626      0.0016326530612244896    349.9999990426212        350.44766174828345       355.4651405092686
0.04081632653061224       0.0016326530612244896    349.99999903644084       350.3138821383412        353.4931063400516
